"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-08-31","155 SYS","W1316926","Fluoride","","0.67","MG/L","Adams & Marlborough"
"2019-09-01","242 SYS","W1322062","Fluoride","","0.672","MG/L","7260 Barker Way"
"2019-09-02","249A SYS","W1322067","Fluoride","","0.518","MG/L","6429 Glidden St.; Sample Stanchion"
"2019-09-03","131 SYS","W1323918","Fluoride","","0.5760000000000001","MG/L","E Park Ave/San Ysidro Blvd;Sample Stanchion"
"2019-09-03","284 SYS","W1323917","Chlorate","","221.5","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-09-03","284 SYS","W1323917","Chlorite","","349.5","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-09-03","OT COMB FILTER","W1324092","pH","","7.6","PH","OT FP Filter Combined Filter Effluent"
"2019-09-03","OT COMB FILTER","W1324092","Total THMs","","10.6","UG/L","OT FP Filter Combined Filter Effluent"
"2019-09-03","OT FILTER 1-8","W1324090","pH","","7.53","PH","OT FP Filters 1-8"
"2019-09-03","OT FILTER 1-8","W1324090","Total THMs","","10.6","UG/L","OT FP Filters 1-8"
"2019-09-03","OT FILTER 9-16","W1324091","pH","","7.86","PH","OT FP Filters  9-16"
"2019-09-03","OT FILTER 9-16","W1324091","Total THMs","","10.5","UG/L","OT FP Filters  9-16"
"2019-09-03","OT SETTLED","W1324089","pH","","7.41","PH","OT FP Settled"
"2019-09-03","OT SETTLED","W1324089","Total THMs","","11.1","UG/L","OT FP Settled"
"2019-09-04","119 SYS","W1324160","pH","","8.015","PH","Lower Otay Recreation"
"2019-09-04","49A SYS","W1324114","Fluoride","","0.569","MG/L","John J. Hopkins Dr. & General Atomic"
"2019-09-05","184 SYS","W1324165","Fluoride","","0.555","MG/L","12170 Springhurst Dr."
"2019-09-05","300 SYS","W1324212","Chlorate","","217.0","UG/L","5368 Topsail Drive"
"2019-09-05","300 SYS","W1324212","Chlorite","","323.0","UG/L","5368 Topsail Drive"
"2019-09-06","78A SYS","W1324236","Fluoride","","0.708","MG/L","6200 Calle Mariselda"
"2019-09-07","281 SYS","W1322072","Fluoride","","0.635","MG/L","6831 Monte Verde Dr"
"2019-09-08","150 SYS","W1322077","Fluoride","","0.628","MG/L","Acorn St & 62nd St @ Fire Station"
"2019-09-09","259 SYS","W1325756","Fluoride","","0.634","MG/L","3945 Alameda Dr; Sample Box"
"2019-09-10","138A SYS","W1325922","Fluoride","","0.638","MG/L","4202 N. Harbor Drive; Sample Stanchion"
"2019-09-10","OT COMB FILTER","W1326031","pH","","7.76","PH","OT FP Filter Combined Filter Effluent"
"2019-09-10","OT COMB FILTER","W1326031","Total THMs","","12.3","UG/L","OT FP Filter Combined Filter Effluent"
"2019-09-10","OT FILTER 1-8","W1326029","pH","","7.7","PH","OT FP Filters 1-8"
"2019-09-10","OT FILTER 1-8","W1326029","Total THMs","","12.2","UG/L","OT FP Filters 1-8"
"2019-09-10","OT FILTER 9-16","W1326030","pH","","7.68","PH","OT FP Filters  9-16"
"2019-09-10","OT FILTER 9-16","W1326030","Total THMs","","12.1","UG/L","OT FP Filters  9-16"
"2019-09-10","OT SETTLED","W1326028","pH","","7.75","PH","OT FP Settled"
"2019-09-10","OT SETTLED","W1326028","Total THMs","","12.7","UG/L","OT FP Settled"
"2019-09-11","119 SYS","W1326083","pH","","8.19","PH","Lower Otay Recreation"
"2019-09-11","218 SYS","W1326049","Fluoride","","0.63","MG/L","2110 Via Casa Alta @ Fire Station"
"2019-09-12","284 SYS","W1326126","Fluoride","","0.455","MG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-09-13","173 SYS","W1326164","Fluoride","","0.6","MG/L","Rancho Hills & Reo Dr @ Library/Sample Stanchion"
"2019-09-14","55A SYS","W1322082","Fluoride","","0.58","MG/L","5183 Arvinels Ave."
"2019-09-15","174 SYS","W1322087","Fluoride","","0.649","MG/L","3250 Camino Del Rio North; Sample Stanchion"
"2019-09-16","313 SYS","W1326415","Fluoride","","0.545","MG/L","11602 Calle Paracho"
"2019-09-17","284 SYS","W1326575","Chlorate","","205.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-09-17","284 SYS","W1326575","Chlorite","","352.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2019-09-17","67 SYS","W1326516","Fluoride","","0.629","MG/L","Pomerado Rd & Grandee Pl"
"2019-09-17","OT COMB FILTER","W1326652","pH","","7.65","PH","OT FP Filter Combined Filter Effluent"
"2019-09-17","OT COMB FILTER","W1326652","Total THMs","","9.92","UG/L","OT FP Filter Combined Filter Effluent"
"2019-09-17","OT FILTER 1-8","W1326650","pH","","7.91","PH","OT FP Filters 1-8"
"2019-09-17","OT FILTER 1-8","W1326650","Total THMs","","9.63","UG/L","OT FP Filters 1-8"
"2019-09-17","OT FILTER 9-16","W1326651","pH","","7.93","PH","OT FP Filters  9-16"
"2019-09-17","OT FILTER 9-16","W1326651","Total THMs","","9.48","UG/L","OT FP Filters  9-16"
"2019-09-17","OT SETTLED","W1326649","pH","","7.85","PH","OT FP Settled"
"2019-09-17","OT SETTLED","W1326649","Total THMs","","9.49","UG/L","OT FP Settled"
"2019-09-18","119 SYS","W1326705","pH","","8.18","PH","Lower Otay Recreation"
"2019-09-18","204A SYS","W1326749","Chlorate","","108.0","UG/L","2787 Alta View Drive"
"2019-09-18","204A SYS","W1326749","Chlorite","","128.0","UG/L","2787 Alta View Drive"
